"LINK CODE","ADVERTISER","LINK TYPE","LINK NAME","START DATE","END DATE","LINK ID"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.15&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.15&subid=0&type=4&gridnum=0""></a>","Online Courses AU","Banner","Logo Banner","05-18-2023 01:52 GMT","Auto-Renew","15"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.16&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.16&subid=0&type=4&gridnum=0""></a>","Online Courses AU","Banner","Logo Banner","05-18-2023 01:52 GMT","Auto-Renew","16"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.12&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.12&subid=0&type=4&gridnum=16""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","12"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.11&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.11&subid=0&type=4&gridnum=16""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","11"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.10&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.10&subid=0&type=4&gridnum=16""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","10"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.9&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.9&subid=0&type=4&gridnum=16""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","9"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.7&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.7&subid=0&type=4&gridnum=13""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","7"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.3&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.3&subid=0&type=4&gridnum=13""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","3"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.4&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.4&subid=0&type=4&gridnum=13""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","4"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.6&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.6&subid=0&type=4&gridnum=13""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","6"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.5&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.5&subid=0&type=4&gridnum=13""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","5"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.13&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.13&subid=0&type=4&gridnum=16""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","13"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.14&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.14&subid=0&type=4&gridnum=16""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","14"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=1345333.8&subid=0&type=4""><IMG border=""0""   alt=""Online Courses AU"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=1345333.8&subid=0&type=4&gridnum=13""></a>","Online Courses AU","Banner","Banners","05-18-2023 01:41 GMT","Auto-Renew","8"
